place,package_name,price,time,about_trip,emi
thailand,Flavours of Thailand - Family Special Land Only,"13,900","
                            4 NIGHTS
                        ","
	
		
	
		
		The evening is free for shopping and chilling around the Bangkok streets. Overnight stay remains at your hotel in Bangkok.
		 
		
		Chao Pharya Dinner Cruise- Welcome aboard a 2-hour extravagant journey down the Chao Phraya which divides ancient Thailand from the present day metropolis of Bangkok. As you cruise along, delight in a delicious meal of Thai and international cuisine as an upbeat band plays in the background and you pass by famous landmarks. Pass by an illuminated Bangkok, which is simply mesmerizing with its glimmering lights that dance on the water's surface, and see ancient temples such as Wat Arun, known also as the Temple of Dawn. 
		
	
		After a buffet breakfast Transfer to Safari World & Marine Park. Thailand’s Greatest open zoo and leisure park that offers a great variety of entertainment. Whether it is an exciting safari drive through the picturesque African wilderness settings, an intimate encounter with friendly dolphins or an exhilarating fast-paced action stunt spectacle, Safari World has it! – A family friendly tour with kids.
		 
		
		Sea Life Aquarium & Madame Tussauds Ticket Only (Optional) 
		 
		a) Bangkok Ocean World (formerly Siam Ocean World) is located two storey underneath the glitzy Siam Paragon shopping mall. It is an aquatic wonderland the size of three Olympic swimming pools full of interesting animals from the ocean deep. 
		 
		b) Spend your day getting up close and personal with the famous and powerful at the celebrated Madame Tussaud's wax museum. Get your photograph taken with icons like Oprah Winfrey, sports stars such as Serena Williams or Cristiano Ronaldo, and political leaders like Barack Obama.
		 
	
		
			After a buffet breakfast the day is free at leisure. Night you will be picked up for departure transfer to the airport for flight way back home. Recommended optional tours given below: 
			 
			
			 
			Dream World + Snow World with Lunch (Optional)
			Spend a day at Bangkok's Dream World with 4 different zones—Dream World Plaza, Dream Gardens, Fantasy Land, and Adventure Land. Enjoy over 40 different imported rides and family attractions. Visit the Haunted Mansion, Space Mountain, or experience an arctic winter in Snow Town
			 "," 854
                            "
thailand,Thailand Super Saver - Land Only,"11,990","
                            5 NIGHTS
                        ","
	After breakfast, you will be transferred to the sparkling blue waters of the Gulf of Thailand by a speedboat, and arrive at the idyllic Coral Island (Koh Lan), where you will spend the day luxuriating under the welcoming tropical sun. You can lounge, swim, snorkel or simply enjoy the sun at the island’s immaculate golden beaches. You all have the option of viewing the beautiful coral formations around the island either through a glass-bottom boat or by diving in. Upon your return from the island, you will enjoy a scrumptious Indian lunch at Pattaya. Coral Island tour on join/shared speed boat will stop for Parasailing for those who are interested.  Those who are not interested in Parasailing will wait for the rest to finish the activity.
	 
	
	 
	
		
		 
		Watch in wonder at the fantasies performed by more than 90 actors and supported by world-class technology and a state-of-the-art audiovisual system. Enjoy a 75-minute show based on Thai mythology and folklore and see 4 popular Thai stories in action.
		Evening is free at leisure. Overnight in Pattaya.
	
		Today after breakfast, the day is at leisure for you. 
	
		Post a filling breakfast at the hotel, you check-out and drive back to Bangkok. On the way, you shall proceed for a half-day city tour of Bangkok on a comfortable coach. We start with Pattaya gems Gallery followed by fascinating temples around the capital (Bangkok) like the Wat Traimit housing a five-and-half ton golden Buddha statue and the Marble Temple. The tour will give you an in-depth understanding of the traditions and culture of Bangkok. 
		 
		The evening is free for shopping and chilling around the Bangkok streets. Overnight stay remains at your hotel in Bangkok.
		 
		
	After a buffet breakfast the day is free at leisure. Recommended optional tours given below : 
	 
	Full day Safari world and  Marine park with buffet lunch (Optional)
	 
	Safari World & Marine Park : Thailand's Greatest open zoo and leisure park that offers a great variety of entertainment. Whether it is an exciting safari drive through the picturesque African wilderness settings, an intimate encounter with friendly dolphins or an exhilarating fast-paced action stunt spectacle, Safari World has it! - A family friendly tour with kids.
	           
	Sea Life Aquarium & Madame Tussauds Ticket Only (Optional) 
	a) Bangkok Ocean World (formerly Siam Ocean World) is located two storey underneath the glitzy Siam Paragon shopping mall. It is an aquatic wonderland the size of three Olympic swimming pools full of interesting animals from the ocean deep. 
	b) Spend your day getting up close and personal with the famous and powerful at the celebrated Madame Tussaud's wax museum. Get your photograph taken with icons like Oprah Winfrey, sports stars such as Serena Williams or Cristiano Ronaldo, and political leaders like Barack Obama.
	 
	Have a buffet breakfast at the hotel in the morning. After check out formalities, (The standard check out time is 1200 hours), Evening you will be picked up for departure transfer to the airport for flight way back home."," 737
                            "
koh samui,Thai Island Hopper,"45,900","
                            7 NIGHTS
                        ","
	
		
			
				Upon arrival in Samui you will be met by our representative & you will be transferred to your Hotel. Rest of the day will be free at your leisure and individual activities. Overnight stay at the Hotel / Resort.
	
		
			After Breakfast, proceed for City Tour of Samui, get picked up from your Ko Samui hotel and venture into the island's lush landscape. Your first stop lands you at the renowned Hin Yai and Hin Ta rocks. Marvel at these beguiling natural expressions, and then continue on to a local coconut plantation. Here, enjoy the sweet, creamy texture of fresh coconut plucked from the trees by trained monkeys.From here, visit the town of Nathon where you can peruse the island's souvenir shops and indulge in lunch at your own expense. Next, travel to Wat Khunaram and glimpse a mummified monk inside a Buddhist temple. Conclude your exploits with a journey to the Big Buddha Temple - a superb location for snapping photos to capture your unforgettable experience. Overnight at Hotel.
	
		
			
				
	
		
			
				After breakfast, departure for Ferry terminal, On board ferry to Koh Phangan, transfer to hotel. Overnight stay.
	
		
			
				After breakfast day at leisure.
	
		
			After breakfast, departure for Ferry terminal, On board ferry to Koh Tao. Overnight stay."," 2,820
                            "
koh samui,Serene Koh Samui -Yatra Exclusive,"58,990","
                            4 NIGHTS
                        ","
	
		
			Upon arrival in Samui you will be met by our representative & you will be transferred to your Hotel. Rest of the day will be free at your leisure and individual activities. Overnight stay at the Hotel / Resort
	
		
			After Breakfast, proceed for City Tour of Samui, get picked up from your Ko Samui hotel and venture into the island's lush landscape. Your first stop lands you at the renowned Hin Yai and Hin Ta rocks. Marvel at these beguiling natural expressions, and then continue on to a local coconut plantation. Here, enjoy the sweet, creamy texture of fresh coconut plucked from the trees by trained monkeys.From here, visit the town of Nathon where you can peruse the island's souvenir shops and indulge in lunch at your own expense. Next, travel to Wat Khunaram and glimpse a mummified monk inside a Buddhist temple. Conclude your exploits with a journey to the Big Buddha Temple—a superb location for snapping photos to capture your unforgettable experience.  Overnight at Hotel 
	
		
	
	
		After Breakfast check-out from the hotel and proceed to the airport for the return journey with wonderful memories of KOH SAMUI."," 3,625
                            "
sri lanka,Scenic Sri Lanka - Premium,"32,999","
                            5 NIGHTS
                        ","
	Meet and assist on arrival at Airport.
	Breakfast at Hotel. 
	blended cup of pure Ceylon Tea.
	present breathtaking views of a buzzing countryside 
	Breakfast at Hotel.  Transfer from Nuwara Eliya to Kitulgala.
	strain your voice to the core or slide down to the darkest 
	Breakfast at Hotel.
	Breakfast at Hotel. Transfer from Bentota to Colombo. 
	upcoming inspiration, the Colombo Port City - an 
	Conference Hall (BMICH) before swaying your head to an opera or play at Nelum Pokuna that 
	Overnight Stay at Hotel. Transfer from Bentota to Colombo.
	Conference Hall (BMICH) before swaying your head to an opera or play at Nelum Pokuna that 
	Overnight Stay at Hotel.
	Breakfast at Hotel."," 2,028
                            "
sri lanka,Scenic Sri Lanka - Deluxe,"24,999","
                            5 NIGHTS
                        ","
	Meet and assist on arrival at Airport.
	Breakfast at Hotel. 
	blended cup of pure Ceylon Tea.
	present breathtaking views of a buzzing countryside 
	Breakfast at Hotel.  Transfer from Nuwara Eliya to Kitulgala.
	strain your voice to the core or slide down to the darkest 
	Breakfast at Hotel.
	Breakfast at Hotel. Transfer from Bentota to Colombo. 
	upcoming inspiration, the Colombo Port City - an 
	Conference Hall (BMICH) before swaying your head to an opera or play at Nelum Pokuna that 
	Overnight Stay at Hotel. Transfer from Bentota to Colombo.
	Conference Hall (BMICH) before swaying your head to an opera or play at Nelum Pokuna that 
	Overnight Stay at Hotel.
	Breakfast at Hotel."," 1,536
                            "
mauritius,Simply Mauritius Ex-Delhi : 4 Nights / 5 Days,"59,990","
                            4 NIGHTS
                        ","
	After breakfast, proceed for a full-day tour of the South Island of Mauritius.  Visit Curepipe, a model ship factory, Trou Aux Cerfs the crater of an extinct volcano Proceed for Grand Bassin- Sacred Lake for Hindus in Mauritius and Shiva Temple. Drive through Plaine Champagne & Black River Gorges and visit the 23-coloured Nature Park for a surreal experience . At the end of the day, come back to the hotel, have dinner and retire for the night.
	
	This day marks the end of a fabulous vacation to Mauritius. Rise to a charming morning and indulge in a mouth-watering breakfast at your hotel, check out from your hotel (check-out time is 1200 hours) before you head to the airport for your flight back home."," 3,686
                            "
mauritius,Romantic Mauritius with Gold Beach Resort,"76,990","
                            6 NIGHTS
                        ","
	
		Mauritius is more than just an island. It has a rich colonial history, a unique biodiversity and gorgeous, gorgeous weather. This is apart from the fact that it is blessed with an array of stunning beaches, spectacular coastline and teeming coral reefs. Mauritius has every creature comfort that a traveler wants, yet it retains its off-the-beaten-track appeal. Upon arrival in Mauritius, you will be welcomed by our representative who will escort you to your hotel. Check-in, relax and spend the rest of the day at leisure. Dinner will be served in one of the restaurants at the hotel. After dinner, retire to your room for an overnight stay.
	After breakfast, proceed for a full-day tour of the South Island of Mauritius. Visit Curepipe, a model ship factory, Trou Aux Cerfs the crater of an extinct volcano Proceed for Grand Bassin - Sacred Lake for Hindus in Mauritius and Shiva Temple. Drive through Plaine Champagne & Black River Gorges and visit the 23-coloured Nature Park for a surreal experience. At the end of the day, come back to the hotel, have dinner and retire for the night.
	
	After a leisurely breakfast proceed for a full-day tour of North Island. Located in the north Island is the delightful city of Port Louis, the capital of Mauritius. It is home to Chap de Mars Racecourse, the second oldest racecourse in the world. We drive to Port Louis for a visit of the capital via the Citadel & its surrounding area and stop for a visit at Marie Reine De Paix (View Point ). We visit  the Champ de Mars race course , post which we proceed to Le Caudan Waterfront which has approximately 170 shops where you can buy all the Mauritius souvenirs. Our last stop is at Jumbo shopping mall on the way back to hotel  for an hour. Later in the night, have dinner at one of the restaurants and stay overnight at the hotel.
	
	
	Ile Aux Cerfs is most probably one of the most beautiful places in Mauritius. It is an emerald colored lagoon on the east coast of this lovely island. After a hearty breakfast at the hotel, embark on an excursion to its sandy beaches, beautiful lagoon and a wide array of tourist friendly beach activities. Nothing beats a swim in the blue waters of the ocean. You can choose to don the snorkel and check out the marine life under the waves.  You can also enjoy optional water sports such as banana boat ride, water skiing, parasailing, waterfall visit and undersea walk at an additional cost. After a fun-filled and exciting day, you will be transferred back to the hotel in the evening. Later in the night, have dinner at one of the restaurants and stay overnight at the hotel.
	This day marks the end of a fabulous vacation to Mauritius. Rise to a charming morning and indulge in a mouth-watering breakfast at your hotel. Later check out from your hotel (check-out time is 1200 hours) before you head to the airport for your flight back home."," 4,731
                            "
mauritius,Simply Mauritius - Land Only,"19,990","
                            4 NIGHTS
                        ","
	
		
			Mauritius is more than just an island. It has a rich colonial history, a unique biodiversity and gorgeous, gorgeous weather. This is apart from the fact that it is blessed with an array of stunning beaches, spectacular coastline and teeming coral reefs. Mauritius has every creature comfort that a traveler wants, yet it retains its off-the-beaten-track appeal. Upon arrival in Mauritius, you will be welcomed by our representative who will escort you to your hotel. Check-in, relax and spend the rest of the day at leisure. Dinner will be served in one of the restaurants at the hotel. After dinner, retire to your room for an overnight stay.
	
		
			
				
					After breakfast, proceed for a full-day tour of the South Island of Mauritius.  Visit Curepipe, a model ship factory, Trou Aux Cerfs the crater of an extinct volcano Proceed for Grand Bassin- Sacred Lake for Hindus in Mauritius and Shiva Temple. Drive through Plaine Champagne & Black River Gorges and visit the 23-coloured Nature Park for a surreal experience . At the end of the day, come back to the hotel, have dinner and retire for the night.
					 
					
	
		
			
				Ile Aux Cerfs is most probably one of the most beautiful places in Mauritius. It is an emerald colored lagoon on the east coast of this lovely island. After a hearty breakfast at the hotel, embark on an excursion to its sandy beaches, beautiful lagoon and a wide array of tourist friendly beach activities. Nothing beats a swim in the blue waters of the ocean. You can choose to don the snorkel and check out the marine life under the waves.  You can also enjoy optional water sports such as banana boat ride, water skiing, parasailing, waterfall visit and undersea walk at an additional cost. After a fun-filled and exciting day, you will be transferred back to the hotel in the evening. Later in the night, have dinner at one of the restaurants and stay overnight at the hotel.
				 
				
	
		
			This day marks the end of a fabulous vacation to Mauritius. Rise to a charming morning and indulge in a mouth-watering breakfast at your hotel, check out from your hotel (check-out time is 1200 hours) before you head to the airport for your flight back home."," 1,228
                            "
australia,Experiential Australia,"68,990","
                            7 NIGHTS
                        ","
	• Welcome to Australia! Arrive at Cairns airport and get transferred to your hotel.
	• Have a hearty breakfast at the hotel.
	• Arrive Alice Springs Airport (Flight prices not included, available on request) by 1145Hrs and seat in coach transfer to the hotel and check-in."," 4,239
                            "
