place,package_name,price,time,about_trip,emi
kuala lumpur,Explore Perth with Malaysia,"1,41,990","
                            6 NIGHTS
                        ","
	
		
			
				
					
						
	
		
			
				
	
		
			
				
	
		
	
		
	
		
	"," 8,725
                            "
kuala lumpur,Relaxing  Malaysia Tour,"27,990","
                            3 NIGHTS
                        ",,
europe,Stunning Europe (Land Only),"67,990","
                            7 NIGHTS
                        ","
	
		• Enjoy a scrumptious breakfast at the hotel"," 4,178
                            "
dead sea,Jordan Highlights,"99,990","
                            7 NIGHTS
                        ","
	
		
			Welcome to Jordan! Finalize the airport procedure and head to your hotel in Amman.
			Overnight stay in Amman
			 
	
		
			After breakfast, we tour the downtown part of capital city Amman for 2 hours, visiting sites and museums including the Archeological Museum, the Folklore Museum, The citadel, and the Amphitheatre. Everywhere you look there is evidence of the city's much older past! Now, we proceed to the Eastern Desert to visit Al Kharraneh Castle, Amra Castle (a UNESCO World Heritage site), and Al Azraq Castle where Lawrence of Arabia resided and wrote part of his book “Seven Pillars of Wisdom”.
			Overnight stay in Amman 
	
		
			After breakfast, we head to visit the ancient Roman city of Jerash, including the paved and colonnaded streets, soaring hilltop temples, theatres, spacious public squares and plazas, baths, fountains and city walls. Now, proceeding to northern Jordan to visit one of the most important ecological and historical sites in the Middle East; Ajloun. Ajloun Castle (Qal’at Ar-Rabad) is a fine example of Islamic architecture as it was built by Saladin’s general in 1184 AD to control the iron mines of Ajloun, and to counter the progress of the Crusaders by dominating the three main routes leading to the Jordan valley and protecting the communication routes between Jordan and Syria. 
			Overnight stay in Amman 
	
		
			After breakfast, we head to visit Pella where you can see the remains of a Chalcolthic settlement the 4th millennium BC, Byzantine churches and houses and a small medieval mosque. Proceed to Um Qais, previously known as Gadara, a city renowned as the site of the famous miracle of the Gadarene swine, a cultural center in its time and the home to several classical poets and philosophers. Promenade through Um Qais and see its colonnaded street, vaulted terrace and the ruins of two theatres.
			Overnight stay in Amman
	
		
			After breakfast, we head to visit Madaba, a city best known for the famous 6th century Mosaic map of Jerusalem & Holy Land and for its spectacular Byzantine and Umayyad mosaics. Proceed to Mt. Nebo (site only as the church is closed down for renovation) a city mentioned in the bible as the place where Moses was granted a view of the promised land that he would never enter. Head south of Jordan to visit Umm Ar Rassas 
			Overnight stay in Petra 
	
		
			After breakfast, we head to visit the Nabatean Red Rose city of Petra, one of the 7 world wonders and a UNESCO World Heritage site. Enter the city through 1KM long narrow gorge which is flanked either side by 80m high cliffs! Notice the dazzling colors and formations of the rocks. The site is massive, and contains hundreds of elaborated rock-cut tombs, a treasury, Roman-style theatres, temples, sacrificial altars and colonnaded streets.
			Overnight stay in Petra
	
		After breakfast, we head further down in southern Jordan to visit other significant sites including Wadi Rum and Aqaba. Explore Wadi Rum on a 1.30 hour jeep ride into the Jordanian desert! Wadi Rum was best described by T.E. Lawrence as “Vast, echoing and god-like”, and by the locals as “Valley of the Moon”. Proceed to the sole gulf city in Jordan; Aqaba for a quick tour. Its sandy beaches and coral reefs are the most pristine on the Red Sea. Now, leave for the Dead Sea via Wadi Araba.
		Overnight stay at the Dead Sea
	
		After breakfast, transfer to Queen Alia International Airport for departure to your final destination."," 6,144
                            "
dead sea,Sun & Fun Jordan,"92,990","
                            7 NIGHTS
                        ","
	After breakfast, we head to visit Madaba, a city best known for the famous 6th century Mosaic map of Jerusalem & Holy Land and for its spectacular Byzantine and Umayyad mosaics. Proceed to Mt. Nebo (site only as the church is closed down for renovation) a city mentioned in the bible as the place where Moses was granted a view of the promised land that he would never enter. Head south of Jordan to visit Umm Ar Rassas. Overnight stay in Petra. (BB)
	After breakfast, we head to visit the Nabatean Red Rose city of Petra, one of the 7 world wonders and a UNESCO World Heritage site. Enter the city through 1KM long narrow gorge which is flanked either side by 80m high cliffs! Notice the dazzling colors and formations of the rocks. The site is massive, and contains hundreds of elaborated rock-cut tombs, a treasury, Roman-style theatres, temples, sacrificial altars and colonnaded streets. Overnight stay in Petra. (BB)
	 
	Spend the day free at leisure. Overnight stay in Aqaba. (BB)
	 "," 5,714
                            "
copenhagen,Capitals of Scandinavia,"1,18,990","
                            5 NIGHTS
                        ",," 7,312
                            "
dead sea,Wadi Rum Special,"82,990","
                            7 NIGHTS
                        ","
	After breakfast, enjoy Amman Panoramic tour. we head to visit the ancient Roman city of Jerash, including the paved and colonnaded streets, soaring hilltop temples, theatres, spacious public squares and plazas, baths, fountains and city walls. Proceeding to northern Jordan to visit one of the most important ecological and historical sites in the Middle East, Ajloun. Ajloun Castle (Qal’at Ar-Rabad) is a fine example of Islamic architecture as it was built by Saladin’s general in 1184 AD to control the iron mines of Ajloun, and to counter the progress of the Crusaders by dominating the three main routes leading to the Jordan valley and protecting the communication routes between Jordan and Syria. Overnight in Amman (HB).
	After breakfast, Visit the Nabatean Red Rose city of Petra, one of the 7 world wonders and a UNESCO World Heritage site. Enter the city through 1KM long narrow gorge which is flanked either side by 80m high cliffs! Notice the dazzling colors and formations of the rocks. The site is massive, and contains hundreds of elaborated rock-cut tombs, a treasury, Roman-style theatres, temples, sacrificial altars and colonnaded streets. Overnight in hotel (HB).
	 "," 5,100
                            "
zagreb,Capital of The East,"1,12,990","
                            9 NIGHTS
                        ","
	Welcome to Hungary!
	On arrival at Budapest Airport, you will be met and transferred to your hotel.
	Budapest has something for everyone – from dramatic history and flamboyant architecture to healing thermal waters and a nightlife that is unrivalled in Eastern and Central Europe.
	Overnight stay in BUDAPEST
	In the morning enjoy a City Tour of Budapest with Danube River Cruise
	Discover all the most important sights in Budapest with your tour guide during the city tour. Let us show you the main attractions on both sides of the River Danube. Walk around the Castle District, enjoy the view from the Citadel and see the top attractions of Pest.
	After the city tour enjoy a 1-hour river cruise on the Danube and see the sites of Budapest from a different perspective.
	Spend the evening exploring the city on your own. We suggest you take an optional tour of Szechenyi Thermal Spa. Immerse yourself in the thermal baths located in the heart of Budapest and take part in a Hungarian tradition dating back over a century.
	Overnight stay in BUDAPEST
	The day is at leisure to explore the city on your own, or we recommend you to take an exciting optional tour and explore the Szentendre Artists' Village.
	Visit Szentendre a small baroque city built on medieval ruins, located at the gate of the Danube Bend. The town is considered to be the Artist's Village or the Painters' Town. Walk around the historical centre and take a look at the cobblestoned narrow streets, baroque houses and churches. Taste the Hungarian speciality, ""lángos""(fried Hungarian flat bread). Later, enjoy a one-hour boat tour from Szentendre back to Budapest.
	Overnight stay in BUDAPEST
	Today, continue your journey to Ljubljana.
	Ljubljana is one of the smallest European capitals. It's never crowded – but also never boring. 50,000 university students give it its youthful appeal and a cultural hub of Slovenia, it has a lot to offer to locals and visitors alike.
	This evening, enjoy a guided walking tour of Ljubljana with Funicular ride.
	Ljubljana is a very nice small green metropolis. Its historical city centre, the river Ljubljanica, the castle above the city, the open market etc. are few of the major attractions to explore. The walking tour starts from the square in front of the Town Hall. On this tour walk through all major attraction of the city and its historical centre.
	Later take the funicular to reach the Ljubljana castle and enjoy magnificent views of the city. (Castle entrance is not included).
	Overnight stay in LJUBLJANA
	Discover the Best of Slovenia on a One Day Tour.
	Start your tour with a visit to Lake Bled, the charming Alpine resort. Sit back and take in the fantastic views of Lake Bled and the tiny, tear-shaped Bled Island as you sail in the traditional Pletna boat to the island. Explore the little island and enjoy the stunning views of the surrounding area.
	Next, visit the Bled Castle, the oldest castle in Slovenia, perched on a sheer cliff high above Lake Bled. On a visit here, enjoy the spectacular view over the lake from the terrace and tour the museum.
	Continue your journey to the Postojna Cave, the best-known cave in the world. Starting with a unique and adventurous ride with a special train, it is one of the most diverse cave systems in the world, with 21 km of passages, galleries and magnificent halls, The temperature in Postojna cave is constant 9º C.
	End the tour with a visit to The Predjama Castle, perched high up in a vertical cliff. It is an interesting and romantic sight throughout the year: in the spring and summer its surroundings are abundant with blossoms and flowers, in the autumn it is clad in the colours of surrounding forests and is at its best in the winter when the surrounding area is covered in snow.
	Overnight stay in LJUBLJANA
	This morning checkout and proceed to Zagreb.
	Zagreb, the capital of Croatia, is known for its diverse economy, historical museums, cultural events, sporting and a governmental hub. It has many fine sights, plenty of restaurants, cafes and bars and lots of entertainment, making it an excellent starting point to explore Croatia.
	Explore main spots on your guided walking tour of Zagreb with a scenic funicular ride.
	Feel the pulse of the city and embrace all the charm Zagreb has to offer. Get acquainted with the past and the present that will show you the hidden gems of the Croatian capital. Discover Lower and Upper Town and experience the true stories that shaped Zagreb into the city it is today.
	Later, you have opportunity to add in an optional activity like the Zagreb Eye Observation Deck.
	Overnight stay in ZAGREB
	Enjoy a full day excursion to Plitvice National Park.
	Plitvice National Park is renowned for its dramatic waterfalls, glittering lakes, and lush forested cliffs. It is Croatia's best-known national park and one of eight that is listed on the UNESCO list of World Heritage sites. The ticket offers you full access to the park's hiking trails and boardwalks, a ride on the park's panoramic train, shuttle buses between the Upper and Lower Lakes, and an electric boat cruise around Kozjak Lake.
	Overnight stay in ZAGREB
	This morning travel to Vienna and check into your hotel.
	Vienna, Austria???s capital city, offers a unique blend of imperial traditions and stunning modern architecture. It is famous for its imperial sights, coffee houses, cosy wine taverns, and a very special Viennese charm.
	Overnight stay in VIENNA
	In the morning enjoy a City Tour of Vienna with entrance to the Schonbrunn Palace
	Admire Vienna's impressive sites on a panoramic tour. See all the main sights and attractions along the grand Ringstrasse. Enjoy a skip the line access to the Schonbrunn Palace, the magnificent summer residence of the Habsburg dynasty.
	Spend the evening exploring the city on your own, we suggest you to take an optional tour of Entrance Tickets to Schonbrunn Palace Concerts. Listen to some of the most marvellous overtures, arias and duets from the operas of Wolfgang Amadeus Mozart. ""Le Nozze di Figaro"", ""Die Zauberflöte"" and ""Don Giovanni"" to name a few. The orchestra is accompanied by two opera singers, a soprano and a baritone, and two ballet-dancers.
	Overnight stay in VIENNA
	Your trip concludes with a departure transfer to Vienna Airport. Thank you for visiting Eastern Europe! We hope you have enjoyed your vacation and wish you a safe journey back
	END OF SERVICES"," 6,943
                            "
bergen,Norway in Nutshell (Land Only),"96,990","
                            5 NIGHTS
                        ","
	
		• Arrive Oslo in the morning. Post arrival, get transferred to your hotel
		• Evening free at leisure. Spend the day to explore the city on your own. Oslo - The capital city of Norway. Surrounded by mountains and sea, this compact, cultured city is one of Europe’s fastest  growing capital. It  has earned the honour of being named European Green Capital via the lowest carbon footprints, excellent public transport, city planning emphasising pedestrians and a real commitment to sustainable green  space
		• Overnight stay at hotel
	• Enjoy a scrumptious breakfast at the hotel
	•  Proceed out for your Oslo Selected Highlights Tour to witness Oslo’s culture and sights
	• See the Town House and The House of Parliament. Admire the Royal Palace, built in neo classical style and a concrete symbol of Norwegian history since 1814. This is where the daily work of the monarchy is conducted and  where the King and Queen live. Experience the majestic Akershus fortress for a deeper insight into Oslo’s history. This medieval castle, completed in 1300, was modernised and  converted  into a Renaissance Castle and  Royal residence. Visit the magnificent and unique Vigeland Sculpture Park, the highlight of your city tour and main street of Oslo called the Karl Johan Street, named in honour of King Charles John
	• Overnight stay at the hotel
	
		• Check-out after a lip-smacking breakfast at the hotel
		• Get transferred from Hotel to Station to board a Scenic Train - Norway in Nutshell
		• This legendary tour takes you through the most breathtaking UNESCO-protected fjord and mountain scenery, as well as a trip on Europe’s top scenic rail journey. Proceed towards Myrdal. At Myrdal, you board one of the world’s steepest and scenic train to reach Flam - The small village with the grand surroundings, an area known for it's fjords. Yet again in Flam you board the ferry for a life time experience of the journey to the famous Fjords. You get to experience the Sogne Fjords. Sogne Fjord is world’s most beautiful fjords and is also the narrowest & deepest Fjords. This is protected under the Unesco World Heritage
		• Overnight stay at hotel
	
		• Breakfast at the Hotel
		• At the end of the journey, you arrive at Gudvangen from where you board the coach for Voss and then take a train from Voss to Bergen
		• Continue Norway in Nutshell Journey towards Bergen
		• Arrive Bergen. Get transferred from your Station to the Hotel
		• The evening is at leisure for you to explore the picturesque city in between the seven mountains and the breathtaking fjords
		• Overnight at Hotel
	• Relish a yummy breakfast at the hotel
	• Explore the city on your own with Bergen city card - 24Hrs (Subject to  availability). Experience why Bergen is called a European City of Culture, the Gateway to the Fjords of Norway and a World Heritage City. The Bergen region has the ideal combination of nature, culture and exciting urban life all year around
	• Overnight stay at Hotel in Bergen
	
		• All great holidays must end. Relish a yummy breakfast at the hotel and pack your bags and memories
		• Check-out from the hotel and get transferred to the airport"," 5,960
                            "
copenhagen,Highlights of Scandinavia - Mini Van,"1,58,990","
                            8 NIGHTS
                        ",," 9,770
                            "
