place,package_name,price,time,about_trip,emi
athens,Classical Greece & Hop On Hop Off,"92,990","
                            10 NIGHTS
                        ","
	
		Meet and assist at International Athens Airport and transfer to your hotel. Accommodation in Athens. Overnight at your hotel.
	Half Day city tour with Acropolis coach tour. In the morning you will be picked up from your hotel and start the half-day tour to Athens. This tour gives you an opportunity to observe the striking contrasts that make Athens such a fascinating city. Our expert guides will take you to see the Panathenaic Stadium where the first Olympic Games of modern times were held in 1896 (short stop). Continue and pass by the Presidential residence (ex Royal Palace) guarded by the Euzones in their colorful uniform, the Temple of Olympian Zeus, the Hadrian’s Arch, the Parliament and the memorial to the Unknown Soldier, the Academy, the University, the National Library, the Constitution Square (Syntagma). On the Acropolis visit the Architectural Masterpieces of the Golden Age of Athens : The Propylaea, the Temple of Athena Nike, the Erechtheion, the Parthenon and finally “the harmony between material and spirit”, the monument that “puts order in the mind”, the New amazing Acropolis Museum consistently rated as one of the best museums in the world. Return to your hotel Free evening. Overnight in Athens.
	 
	
		Breakfast at hotel. In the morning you will be picked up from your hotel. Leave for Delphi via Thebes, Levadia and the picturesque village of Arachova, on the slopes of Mount Parnassus, arrive in Delphi and visit the Archaeological Site. After the visit depart for Kalambaka, passing through picturesque villages and towns of Central Greece. Dinner and overnight in Kalambaka.
		 
	
		Breakfast at the hotel. Visit Meteora and enjoy a unique and most impressive scenery with ageless Monasteries, containing priceless historical and religious treasures, standing between earth and sky atop huge rocks. Return to Athens via Trikala, Lamia, Thermopylae (short stop to see across the road the Leonida's Monument), arrive in Athens early in the evening. Overnight in Athens.
		 
	
		Breakfast at hotel. Today, after breakfast you will be picked up from your hotel and transfer to the Airport for your flight to Santorini Island. A thousand sunsets, a thousand memories, a thousand heartbeats, colours of blue red & gold streaking the sky ... this is Santorini island ... Poets have written about it, artists attempt to capture its beauty. Nothing can quite describe ... the unsurpassed magic of Santorini. This tiny Greek island in the Aegean sea, rich in history & steeped in myth, is situated on the southern east tip of the Cyclades Cluster. Once famous for its seafaring captains & thriving trade from Russia towards England, France & Italy, & even further back in time the biblical volcanic catastrophe of 1500 BC, today Santorini is one of the most popular holiday destinations worldwide. Arrival in Santorini and transferred at your hotel. Rest of the day is yours to spend in order to explore the island and admire the breathtaking view. Overnight in Santorini.
		 
		 
	 
	
		Today, after breakfast you will be picked up for a cruise at the caldera and its hot springs. During this tour, you will have the unique chance to visit the active volcano of Santorini, walk on dried lava up to its peak, feel the heat underneath your feet and see the steam of sulphuric gases emerging from the earth bowels. Next, you will sail to the thermal springs where you can dive or step down into the blue waters in order to swim towards the springs (35-36 C). Last you will visit the traditional sister island of Santorini, Thirassia, where you can either swim, go up to the village or simply relax and have something to eat. Return at your hotel. Overnight in Santorini.
	
		Today, after breakfast you will be picked up from your hotel and transfer to the port for your ferry to Paros Island famous for the traditional architecture, the lovely beaches and its nightlife. Parikia and Naoussa are the main villages of Paros, where most activities are concentrated, while there are also other seaside tourist settlements around the island. Arrival Paros and transfer to the hotel. Overnight in Paros.
	
		Breakfast at the hotel. Join the full day Delos-Mykonos. An outstanding visit to two of the most interesting and exciting islands of the
	
		Breakfast at the hotel.
		 
		Very mountainous. the island of Naxos is the largest of the Cyclades. She is distinguished from other Cyclades by the variety of her landscapes; impressive rock formations alternately with beautiful green valleys where there are many traditional villages.
		 
		Island tour by bus. Passage through the villages of Galanado and Filoti. Stop at Chalki (kitron distillery) and Apiranthos (village of marble).
	
		Breakfast at the hotel. Today, after breakfast you will be picked up from your hotel and transfer to the port for your ferry to Athens."," 5,714
                            "
athens,Cretan Glory,"88,990","
                            8 NIGHTS
                        ","
	
		
			
				
					Arrival Athens airport – meet and assist and transfer to the hotel
					Overnight in Athens
					 
	Breakfast at the hotel
	Pick up for city tour of Athens includes visit to the Acropolis and its museum
	And the new Acropolis Museum
	Overnight in Athens
	
		Breakfast at the hotel 
		Pick up for transfer to the port to catch the ferry to Mykonos – arrival and transfer to the hotel – overnight in Mykonos 
	Breakfast at the hotel 
	Explore the cosmopolitan atmosphere, the exciting nightlife, the picturesque Cycladic architecture and the magnificent beaches and walk along the narrow streets of Chora, see the sunset from Little Venice – or join optional Delos tour 
	Breakfast at the hotel
	Pick up for transfer to the port to catch the ferry to Santorini – arrival and transfer
	to the hotel -  Overnight in Santorini
	 
	Breakfast at the hotel
	enjoy the unforgettable view in the most romantic island in the world
	Overnight in Santorini
	 
	Breakfast at the hotel
	pick up for transfer to the port to catch the ferry  to Heraklion /Crete  – arrival and
	transfer to the hotel – overnight in Crete
	 
	Breakfast at the hotel
	Day at leisure  to explore the Island (Heraklion, Chania, Agios Nikolaos, Rehymono,
	Hersonissos and Elounda)
	Enjoy the shopping and the night life
	Overnight in Crete
	 
	Breakfast at the hotel
	Pick up for transfer to the airport to catch the flight to Athens
	 "," 5,468
                            "
switzerland,Delights of Austria & Switzerland (Land only),"83,990","
                            8 NIGHTS
                        ","
	
		• Start this day with a hearty breakfast, and then embark on a sightseeing tour of the city on Seat-in coach basis to explore some of the major landmarks of Vienna. The highlight of the tour is a guided tour through the magnificent palace of Schonnbrun and Ringstrasse. You will check out the grand rooms of the palace and get some insight into the lives of Austria’s famous family
	• Savour a tempting breakfast at the hotel
	
		
			• Enjoy a delicious breakfast at the hotel
	• Breakfast at your hotel, check-out and make your own way to the train station for your onward journey to Zurich.
	
		• All great holidays must end. Relish a yummy breakfast at the hotel and pack your bags and memories"," 5,161
                            "
barcelona,Best of Spain & Portugal (Land Only),"53,500","
                            6 NIGHTS
                        ","
	• Welcome to Barcelona, the Catalonian capital 
	• Your Spanish holiday will begin once you reach Barcelona. You will be taken to your hotel After you check-in, relax at the hotel itself 
	• Have a pleasant overnight stay in your hotel
	• Kick off this day of your vacation with a scrumptious buffet breakfast at your hotel
	• Private transfer to Barcelona railway station to take the high speed train to Madrid. After 3 hours, you will reach the capital of Spain
	• Pickup from the station and drop at the hotel. Unwind for a while and then you can explore your surroundings
	• Look forward to a good night’s sleep in your hotel
	• Relish a yummy buffet breakfast at the hotel
	• On this package, we have planned a City Tour of Madrid for you today 
	• The tour will take you to the old part of the city where you will visit the Royal Palace, the Sabatini Gardens and Campo del Moro (gardens), located in the city centre. You will see the magnificent architecture of Spain in buildings like the Church of San Francisco El Grande, the Fountains of Paseo del Prado, the Toledo Bridge, the Prado Museum and the Puerta de Alcalá, a neo-Classical monument 
	• Have a peaceful overnight stay at the hotel
	• Dig into a tasty buffet breakfast at the hotel
	• Private transfer to Madrid airport and take your flight to Lisbon. You will reach the capital of Portugal only in 1 hour
	• Reach your hotel on your own and check-in. Relax a bit and then head out to explore the beautiful city lying on the right bank of the Tagus river estuary
	• Have a comfortable overnight stay in your hotel
	• Have a luscious buffet breakfast at the hotel
	• Afterwards, go for a City Tour of Lisbon on SIC which will include visits to Jeronimos Monastery, Belem Tower, St George's Castle, Calouste Gulbenkian Museum, Parque das Nacoes, Berardo Museum, Madre de Deus Convent, São Roque Church and Design and Fashion Museum
	• Your afternoon will be free for a Fado Show with wine tasting
	• Rejuvenate yourself with an overnight stay in your hotel
	• Have a gratifying breakfast on the last day of your holiday
	• Then head to the airport to catch your departure flight"," 3,287
                            "
athens,Greece Island Hopper,"76,990","
                            8 NIGHTS
                        ","
	
		WELCOME TO GREECE! On arrival in Athens, you will be met and transferred by our local representative to your hotel. Check into your hotel by 1500hrs. The rest of the day is free at leisure. Tonight enjoy Athens by Night tour (Operational only on Tue/Wed/Thu/Sat). Enjoy a illuminated orientation city tour of Athens, next visit to the Plaka area, conclude the tour with dinner in a typical Greek Tavern with bouzouki music and Greek Folk Dances. Overnight stay in Athens.
	
		This morning enjoy Athens City Tour. Visit Panathinaiko Stadium which was the cradle of the first Olympic Games in 1896. Pass by the Prime’s Ministers residence, Ex Royal Palace, Zappion (Conference and Exhibition Hall), National Garden, Hadrian’s Arc, St. Paul’s Church, Parliament, Tomb of the Unknown soldier, Schlieman’s House (Numismatic Museum), Catholic Cathedral, University, National Library, Old Parliament, Constitution Square, Russian Orthodox Church and then visit the Acropolis, the crowning beauty and glory of Ancient Athens, with its many monuments atop its rocky base, conclude the tour with the visit to the new ACROPOLIS museum. Overnight stay in Athens.
		 
	
		This morning you will have an early transfer to the port of Piraeus, to embark the normal ferry to Mykonos. Upon arrival at Mykonos you will be greeted and transferred to your hotel. Afternoon at leisure. Overnight stay in MYKONOS. 
	
		The day is at leisure. Enjoy all Mykonos has to offer, from beautiful sandy beaches to archaeological wonders to the extravagant nightlife! Kick back and relax by the beach, immerse yourself in the island’s rich history or dance the night away, Mykonos has it all! Overnight stay in Mykonos.
	
		This morning you will be transferred to ferry point to embark the ferry to Paros. Perched on the slopes a hill, overlooking the vast Aegean sea and the opposite Galatas, Paros Town is the center of the island’s activity. What’s more, in the picturesque Paros Town, you’ll find a great selection of Paros hotels, shops, cafes, restaurants, and taverns! Upon arrival you will be greeted and transferred to your hotel. Overnight stay in PAROS.
	
		The day at your leisure to explore Paros. Apart from a picturesque town, Paros also has fantastic beaches with lush greenery and blue-green waters. Love Bay and Askeli are the two most important beaches on the island, lthough there are many other nice green coves for a swim. Overnight stay in PAROS.
	
		This morning you will be transferred to ferry point for high-speed ferry to Santorini. Santorini is regarded by many as the most spectacular Greek island, Santorini boasts ancient rock formations, raw lava-layered cliffs, and beautiful black sand beaches. Upon arrival at Santorini you will be greeted and transferred to your hotel.  The rest of the day is free. Admire the town of Fira’s whitewashed houses, Narrow streets, and open-air cafes that cling to a steep cliff accessible by cable car or Donkey. Overnight stay in SANTORINI. 
	
		The morning is free. Later in the afternoon enjoy Volcano hotsprings and Oia sunset tour. Enjoy an unforgettable experience as you climb the volcano and swim in the lovely hot springs! Sailing with traditional wooden boat to the volcano, as you climb the volcano and explore dramatic rocky scenery. You have time to swim in the lovely hot springs! Enjoy free time for lunch. Later visit  Oia - climb up 200 steps to reach the top to enjoy the most beautiful sunset. Return from Oia by bus after sunset. Overnight stay in Santorini.
	
		Check out of the hotel latest by 12 noon. According to the departure time of your flight, we will transfer you to the airport for your return or onward flight back home. END OF SERVICES."," 4,731
                            "
barcelona,Best of Andalucia,"84,500","
                            7 NIGHTS
                        ","
	Buffet breakfast at the hotel.
	Enjoy a city tour by touristic bus hop on/off and discover the city on your own. Accommodation in your hotel.
	Buffet breakfast at the hotel. After breakfast pick up your rent a car at Seville city office and drive to Ronda. Take the route to the charming and authentic Spanish villages named Pueblos Blancos (White Villages). These small, silences and quiet hilltop towns are distinguished by their simple whitewashed houses. Arrival to Jerez de la Frontera became famous throughout the world for its sweet wines named like the town, which the British pronounced ""sherry"".
	On arrival you will enjoy a visit to the Royal Andalusian School of Equestrian Art, to watch the show or the training of the horses.After, visit a private wine cellar in Jerez where you will be offered the possibility of tasting a variety of Sherry wines produced in this region.Continuation to Arcos de la Frontera, charming whitewashed houses on a cliff top and several fortified mansions.Afternoon departure to Ronda. This beautiful white village has been declared a national historic site. Accommodation in your hotel.
	 
	
		Buffet breakfast at the hotel.
		After breakfast, enjoy a city tour by touristic bus hop on/off and discover the capital of Catalunya on your own.
		Accommodation in your hotel.
		 "," 5,192
                            "
australia,Mesmerizing Tasmania - Self Drive (Land Only),"1,06,990","
                            9 NIGHTS
                        ","
	 
	 
	 
	 
	 
	 
	 
	 
	 "," 6,574
                            "
singapore,Singapore Cruise,"30,999","
                            2 NIGHTS
                        ","
	Welcome to Singapore Marina Bay Cruise Port. Check in start form 17.00 pm. Dinner and over night stay in Cruise.
	 
	 
	Disembark Cruise at 10:00 a.m.
	 "," 1,905
                            "
singapore,Kids Special Singapore,"44,990","
                            4 NIGHTS
                        ","
	Welcome to Singapore! Upon arrival at the Changi airport, clear the immigration formalities and get transferred to the hotel. Overnight stay at Hotel.
	Post Breakfast, get ready to go beyond the screen and Ride The Movies™ at Universal Studios Singapore™!
	After breakfast, Meet and interact with thousands of birds at Asia's largest bird paradise. Discover a collection of over 5,000 colorful birds from 400 species, across over 20.2 hectares of exploratory landscapes, naturalistic environments and giant walk-in aviaries. You'll get to enjoy close-up interactions with the feathered residents at feeding sessions, and be impressed by entertaining antics at daily shows. Indulge in a sumptuous Asian buffet lunch in the company of talented parrots, and splash in some water fun at the wet playground. This sanctuary sure makes for an exciting day out for the whole family! Overnight stay at hotel.
	Post Breakfast, day is at leisure - you may visit Mustafa Centre for shopping & buying soveniers for your loved ones.
	
	
	
		After breakfast, check out of the hotel and proceed to the airport for your return flight to India."," 2,765
                            "
australia,Mesmerising Australia,"84,990","
                            10 NIGHTS
                        ","
	
		
			
				
					
						
	 
	
	
		
	
		
			
	 
	 
	
		
			
				
	
		
			
				
					
	 "," 5,222
                            "
singapore,Singapore Malaysia Dream Cruise,"22,699","
                            2 NIGHTS
                        ","
	Disembark cruise at 12:00 hrs noon.
	 
	 "," 1,395
                            "
indonesia,Balinese Getaway - Yatra Exclusive,"10,190","
                            4 NIGHTS
                        ","
	
		
			Welcome to Bali. Upon your arrival, meet our representative at the arrival hall who will escort you till your private car.
			Arrive at the hotel and check in. The day is free at leisure. You can unwind at the hotel or relax at the nearest beach.
			As the sun sets you must checkout the in-house hotel bar or famous nightlife spots such as Ku De Ta on the Seminyak coast, or the Rock Bar at Ayana Resort, perched on cliffs above the Indian Ocean. Overnight stay at the hotel.
	
		Enjoy continental breakfast in the Hotel.
		Proceed to visit the famous Ubud Village and Mount Batur. This full-day tour takes you on an eight-hour journey to explore the artistic, cultural and historical highlights of central Bali. The first morning stop is at the village of Batubulan, where you can enjoy the Barong and Keris theatrical performances, depicting the mythical tale of Good vs Evil, and portrayed by performers in vibrant costumes. The tour also includes stops at the nearby Balinese hand-weaving, gold and silversmith’s village of Celuk and Mas where you can witness Bali's creative artisans at work, and perhaps strike a bargain straight from the source. You will then journey towards the highland region of Kintamani and Mount Batur where you’ll enjoy the vast open vistas of the active volcano and the Batur caldera lake. Enjoy sumptuous Indian lunch here.
	Add an adrenaline kick to your Bali vacation with a choice of thrilling water sports and activities at the Tanjung Benoa Beach Resort in Nusa Dua, all including hotel pick-up. Enjoy a fun banana boat ride, zip along the beach on a jet ski or try exhilarating water sports like parasailing. Overnight stay at the hotel.
	
		Today is free for leisure to explore surroundings at leisure. Overnight in Hotel.
	
		
			After breakfast, check out of the hotel to proceed to the airport for your flight back home."," 626
                            "
singapore,Singapore Langkawi Cruise,"31,899","
                            3 NIGHTS
                        ",," 1,960
                            "
indonesia,Incrible Bali & Gili Islands - Honeymoon Special,"24,900","
                            6 NIGHTS
                        ",,
paris,Stunning Europe (Land Only),"67,990","
                            7 NIGHTS
                        ","
	
		• Enjoy a scrumptious breakfast at the hotel"," 4,178
                            "
