place,package_name,price,time,about_trip,emi
kerala,Boundless Wayanad & Coorg - Deluxe,"19,499","
                            5 NIGHTS
                        ",," 1,198
                            "
kerala,Coorg Nature Paradise-Standard,"19,278","
                            5 NIGHTS
                        ",," 1,185
                            "
manali,Scenic Shimla and Manali Land Only,"18,699","
                            6 NIGHTS
                        ","
	After breakfast, drive to Delhi for your return journey.
	 
	"," 1,149
                            "
new delhi,2 Nights Amritsar By Own Car,"4,999","
                            2 NIGHTS
                        ","
	Upon arrival in Delhi head straight to Amritsar. 
	After breakfast, visit Jallianwala Bagh. This historical area is known for the massacre commissioned by General Dyer, during the British Rule. In the evening, visit Wagah border. The guard changing ceremony every evening in the India - Pakistan border is the highlight of the area. By late evening, you return to the hotel room for overnight stay. 
	After breakfast, drive back to Delhi."," 307
                            "
new delhi,2 Nights Lansdowne By Own Car,"4,999","
                            2 NIGHTS
                        ","
	Upon arrival in Delhi drive straight to Lansdown. Arrive Lansdowne and check into your pre-booked hotel. 
	Today you will visit Tarkeshwar Mahadev Temple, St Mary's Church, St. John's Catholic Church, Garhwali Mess, Garhwal Regimental Museum & Darwan Singh Museum. 
	After breakfast, drive back to Delhi."," 307
                            "
jaipur,Bharatpur - Weekend Gateway,"6,100","
                            2 NIGHTS
                        ","
	
		Upon your arrival in Bharatpur from Delhi, check in to the hotel. 
		 
		Bharatpur is a small town, situated in the eastern part of Rajasthan. One of the most famous sites here is Lohagarh Fort, built by Maharaja Suraj Mal in the 18th century AD. 
		 
		After check-in, spend the day at leisure, or utilize it to discover the charm of Rajasthani heritage in the majestic Lohagarh fort and other excellent architectural structures. In the evening, stay overnight at the hotel.  
		 
	
		Early in the morning, 
		 
		Post the tour of Keoladeo National Park, return to the hotel for an overnight stay.   
		 "," 375
                            "
jaipur,Jaipur & Bharatpur: Contrasting Attractions,"10,000","
                            4 NIGHTS
                        ",," 614
                            "
jaipur,Jaipur - Weekend Gateway,"6,100","
                            2 NIGHTS
                        ","
	Post pick-up from Delhi, travel to Jaipur via road and upon arrival in the city, head to the hotel.
	 
	Renowned for its cultural charm, Jaipur showers all with royal hospitality, making them feel like a maharaja an unforgettable experience. After check-in at the hotel, spend the day at leisure. 
	 
	In the evening, visit Chokhi Dhani (At your own expense) a village-themed resort, which provides a lifetime experience by giving you the chance to delve into the rich heritage of Jaipur. Puppet shows, authentic Rajasthani dishes, acrobatic shows and cultural performances are some of the highlights of this place. (Entry ticket or any other expense would be on direct payment basis).
	 
	After exploring the resort, return to the hotel for a peaceful sleep. 
	 
	Visit Amber Fort, built in 1592, using red sandstone and marble. This fortress features delicate, artistic engravings that are inspired from the Hindu and Muslim design layouts. Its marvellous interiors, and attractively planned Deewan-i-Aam, Shila Devi Temple, Sheesh Mahal and Ganesh Pol etch their charm on the hearts of visitors. Tourists also get attracted to the Magic Flower, a carving on Sheesh Mahal’s marble walls.
	 
	Post exploring this huge fortress, see the Rajputana masonry at Hawa Mahal, which is also called the Palace of the Winds. It was constructed by Maharaja Sawai Pratap Singh in 1799. Its design is said to resemble the crown of Lord Krishna. It attracts tourists for not only its mythological connection, but also intricately carved jharokhas that still prove to be a source of inspiration for architects.
	 
	Also during the day, see Jal Mahal, situated in Man Sagar Lake, from outside. Looking beyond the lake, tourists will be greeted by the scenic views of the Aravalli Hills, temples and ancient forts. You can use the remaining time to explore the dazzling markets of Jaipur.
	 
	After finishing this half-day sightseeing tour, retreat to the hotel for an overnight stay. 
	 "," 375
                            "
thekkady,Breathtaking Kerala: Natural Wonders Standard,"17,150","
                            6 NIGHTS
                        ",," 1,054
                            "
thekkady,Verdant Munnar & Thekkady Adventure - Standard,"13,400","
                            4 NIGHTS
                        ",," 823
                            "
