place,package_name,price,time,about_trip,emi
switzerland,Best of Switzerland (Land Only),"66,000","
                            4 NIGHTS
                        ","
	• Arrival at Lucerne – the storybook city in central Switzerland. You will be transferred by train from across the border, the airport or any other destination in Switzerland, to Lucerne, where your magical holiday tour begins! 
	• Discover the Old Town
	Old Town lies along River Reuss, and has been a tourist magnet since 1840, thanks to the well-preserved Chapel Bridge and Water Tower
	• In the evening, you are free spend your time taking in the wonderful sights and sounds of this quaint city.
	• Overnight stay in Lucerne
	• Enjoy a wholesome breakfast at the hotel
	• Today, you can relax on your own or enjoy an optional excursion to Mt. Pilatus or Stanserhorn at additional cost. 
	The legendary Mount Titlis is the highest glacier excursion destination and biggest ski and snowboard paradise in Central Switzerland. It is accessible on one side by rotair cableway. At an altitude of 3,020 metres above sea level, it is a must-see view of Switzerland and the breathtaking Alps. 
	Mount Pilatus – Enjoy an unforgettable view from gondolas and aerial cableway that carries you to the summit of Mount Pilatus (2,132m). Watch over the surrounding mountains and lakes and enjoy a short lunch or hike to the summit.
	• Overnight stay in Lucerne
	• On day 03 of your Swiss tour, enjoy a delicious breakfast at the hotel
	• Experience an exciting journey on board the Zentralbahn, a regional train via the Brünigpass to Interlaken
	This resort town lies in the Bernese Oberland, between Lake Thun and Lake Brienz. The vacation destination, which is presided over by the three mighty mountains, Eiger, Mönch and Jungfrau, and home to many fun activities. 
	• Today, you are free to experience the stunning beauty of this vacation spot
	• Overnight stay in Interlaken
	• After a filling breakfast at the hotel, you can enjoy an excursion to Jungfraujoch
	The Jungfrau Railway, which travels through the mountains and up to the highest train station in Europe (3,454m), offers the best views of the mountain giants Eiger, Mönch and Jungfrau, and of the longest river of ice in the Alps – the Aletsch glacier, 22km long. It climbs nearly 1,400 meters in height and covers a distance of more than seven kilometers in tunnels along the nine kilometer long stretch.
	• Overnight stay in Interlaken"," 4,056
                            "
maldives,Funfilled Maldives,"55,500","
                            4 NIGHTS
                        ",,
spain,A Glance of Vietnam,"49,890","
                            9 NIGHTS
                        ","
	Xin Chao! Welcome to Hanoi . Upon arrival at the airport, Private transfer to the Flower Garden Hotel .Overnight in Hotel.
	Please note that standard check in time is 14:00. Early check in is subject to availability of the hotel.
	Have breakfast at the hotel,7.45 AM pick up at your hotel. Then visit the Ho ChiMinh Mausoleum to explore the architectural and historical aspects of UncleHos final resting-place. Just next door is Ho Chi Minhs house on stilts and lying to oneside of the Mausoleum is the One Pillar Pagoda, which was founded by King LyThai To in 1049 - the structure has become an important symbol for the people of Hanoi. Then continue on to the Buddhist Tran Quoc Pagoda at West lake (Oneof the oldest pagodas in Vietnam). Then visit Bat Trang pottery village(applied on Mon, Wed & Fri). Lunch at a local restaurant. After lunch proceed to visit the Ethnology Museum(apply on Sun, Tue, Thu & Sat), the Literature Temple and Quoc Tu Giam, seeVietnam’s first university, constructed in 1070 - its gardens andwell-preserved architecture will offer a relaxing glimpse into Vietnams past.Take you past Hoan Kiem Lake to see the peaceful waters, and the beauty of NgocSon temple. At the end, journey through Hanois Old Quarter, where you will thenhave a chance for some shopping and exploration. Tour ends around 1530.Drop off at your hotel and overnight in Hanoi.
	 
	
		Have Breakfast at the Hotel,07:45: Pick up at your hotel (in Hanoi Old Quarter area only)and depart for Ha Long City. 12:30 On arrival at the pier, you will board your Royal Palace Cruise and you are warmly welcomed by professional and friendly crew. 13:00 Checkin cabin and enjoy a specially prepared lunch while cruisingthrough the most beautiful parts of the magical bay with thousands of amazinglimestone islands emerging from emerald water. Sailing with Royal Palace Cruisein a very tranquil route, exploring the exotic beauty of the legendary Bay, afeeling in paradise will come to you. 14:30 Keep cruising to the most beautiful parts of Halong Bay. This isthe best time to relax after lunch and enjoy your privacy, capturing stunningphotos of the legendary bay. 15:30 Small tender brings you to visit Titop island, hiking to the topof the island from where tourists can capture a panoramic view of Halong Bay. 16:30 Kayaking & swimming 18:00 Join the sunset party on the sundeck in a warm and romanticatmosphere, making friends with other members in the group, enjoy fresh localfruit, listening to soft, light music, wearing traditional costumes for kings,queens and mandarins. 19:00 Enjoy the special dinner cooked by our professional chef. 20:30 The moment you chooseyour own way to relax after dinner, listening to music, singing karaoke,relaxing on the sundeck, squid fishing available for entertainment during thenight time. Overnight in Boat
		 
	07:00 Enjoy your breakfast, coffee, tea, fruits. 07:45 Visit Surprising Cave the most beautiful one in Halong Bay. 09:00 Back to Royal Palace Cruise for check-out. Keep cruising towards Ha Long Bay, passing by hundreds of islands and islets with different shapesdepending on your imagination. 10:00 Cooking class opened right on the cruise. 11:00 Farewell lunch served on the cruise before you arrive at harbor.12:30 Get on the bus toHanoi. 16:30 Transfer you back to your hotel. Overnight in Hanoi 
	 
	Have breakfast at the hotel. Free time till transfer to the airport for flight to Danang. ArrivalDanang, you will be picked up and escorted to a hotel in Hoian. The rest of the dayis yours. Overnight in Hoian
	 
	Have Breakfast at the hotel, Day at leisure
	 
	Breakfast at the hotel, Today you will get ashort flight to Saigon. Arrival Saigon, you will be picked up and escorted to the hotel. The rest of day is yours at leisure.
	 
	 
	Breakfast at the hotel. 8:00 - 08:15AM, Pick up at your hotel, travel by shuttle bus to My Tho– 9:30 AM, board a wooden motor boat to Unicorn Island. On this boat along therivers bank, you ll be passing through natural creeks and quiet villages andwatch rural people going to work. You will see an interesting fishermens port,stilt houses. One of the boats stops during this trip is at a large orchardthat has many different types of tasty tropical fruits for your enjoyments.Another boat stop is for the Turtle Island 1hrs from the previous one. Here, ona small row boat, you’ll see interesting transportation modes that local peopleuse to move around. From there, we ll take you to a bee farm where you have achance to taste a tasteful cup of authentic honey tea while checking out thefolk music that is typical to only the people in Southern Vietnam.After that we’ll take you to a village where youcan smell the flavor of coconut candies being made many yards away. This is agreat chance to witness how village people make candy and handcrafted itemsfrom coconuts. You might learn that those people can amazingly make dozens ofuseful products out of coconut trees. Transfer back to Saigon. The rest of the day isyou
	 
	Havebreakfast at the hotel. Free time for shopping on your own budget till transfer tothe airport for the flight back home. End of services. 
	 "," 3,066
                            "
florence,The Best of Italy & Sicily,"3,51,990","
                            15 NIGHTS
                        ","
	
		Welcome to Milan! At 5 pm, meet your Tour Director and traveling companions for a welcome dinner at your hotel.
	Highlight of the day is a WALK ON THE RAMPARTS of the medieval town of Monteriggioni with beautiful views of the surrounding Chianti region before continuing to Rome.
	
		
			Board your FERRY and cross the Strait of Messina to Sicily. Follow the northern coastline and arrive in spectacular Cefalù, where you [LF] taste a traditional granita. Time to explore the old town with its medieval lanes and seafront promenade. Next is Palermo, the capital of Sicily.
	A full day at leisure gives you a chance to join the exciting optional excursion to Mount Etna. Spend the afternoon relaxing or for individual activities. This evening, a farewell dinner at a local restaurant awaits."," 21,629
                            "
florence,Milan & Rome,"73,990","
                            7 NIGHTS
                        ",," 4,547
                            "
indonesia,Incrible Bali & Gili Islands - Honeymoon Special,"24,900","
                            6 NIGHTS
                        ",,
indonesia,Romantic Bali Package 5n/6d,"45,000","
                            5 NIGHTS
                        ",,
indonesia,Exciting Bali & The Gili Islands Tour,"56,000","
                            6 NIGHTS
                        ",,
indonesia,Best Of Bali - Lembongan Island Cruise,"38,500","
                            4 NIGHTS
                        ",,
indonesia,Bali Trip For The Honeymooners,"38,000","
                            4 NIGHTS
                        ",,
