place,package_name,price,time,about_trip,emi
europe,Simply London (Land Only),"41,990","
                            3 NIGHTS
                        ","
	
		
			• Arrive in London
			• Once you arrive at the airport (LHR), get transferred to your hotel
			• Welcome to London, a charming city with a royal heritage, incredible wealth of history, culture and exciting attractions. Spend the day relaxing and taking in the breath-taking sights the city has to offer
			• Overnight stay at the hotel
	
		
			
				• Wake up and grab a delicious breakfast at the hotel
				• Head out for your London Hop On Hop Off Tour with Skip the line entrance to London Eye and Madame Tussaud’s. Soar above London and enjoy unobstructed views as far as 25 miles from the London Eye! Standing at an impressive 443 feet, the London Eye has appeared in numerous films and is visited by over 3.5 million people per year. 
				• Get the opportunity to rub shoulders with the great and famous at Madame Tussauds London. Have an audience with Her Majesty the Queen, meet world leaders like Barack Obama, sports stars like David Beckham, A-listers like Cameron Diaz and performers like Kylie Minogue. All this is possible at London’s legendary waxworks museum.
				• Overnight stay at Hotel
	
		
			
				• Enjoy a lip-smacking breakfast at the hotel
				• Evening free at leisure to explore the city on your own. London is a happening global city with the state-of-the-art infrastructure. History buffs can enjoy watching age-old structures like the Tower of London, that brims with art and history and Big Ben, a 16-storeyed Gothic clock tower that is a national symbol. Visit Warner Bros. Studio, a must-see for Harry Potter fans. 
				• Art lovers must visit the theaters showcasing best of artistic excellence or delve into history at the British Museum, Imperial War Museum and Victoria & Albert Museum. 
				• For those interested in shopping, Some best-known street markets include Camden Market and Borough Market. If you love antiques, visit the famed Alfies Antique Market, Old Spitalfields Market, Brick Lane Market and Bermondsey Square Antiques Market. Shop for vintage items, second-hand items or the most modern outfits at Greenwich Market, Boxpark Mall, Brunswick, Kingly Court, Duke of York Square, Carnaby Street, Westfield, Oxford Street, Bond Street and Mayfair.
				• Overnight stay at hotel
	• All great holidays must end. Relish a yummy breakfast at the hotel and pack your bags and memories
	• Check-out from the hotel and get transferred to the airport (LHR)."," 2,580
                            "
europe,Mesmerising Germany (Land only),"40,990","
                            5 NIGHTS
                        ","
	
		• Wake up and grab a delicious breakfast at the hotel
	
		
			• Breakfast at the hotel"," 2,519
                            "
australia,Fully Loaded Brisbane & Gold Coast (Land Only),"65,990","
                            6 NIGHTS
                        ","
	• Rise to a beautiful day and Savour a hearty breakfast.
	
		• Enjoy a delicious breakfast and set out to explore all that Brisbane has to offer.
	• After a lovely breakfast at the hotel, prepare for the next leg of your Australian tour.
	 
	• Check-out from your hotel and and make your way towards your Gold Coast Hotel.
	 
	• Arrive Gold Coast, transfer to hotel. Check-in at the hotel and relax today. The city has always been a high-profile tourist destination, primarily because of its amazing beaches, including the famed Surfers Paradise. With its sunny climate, shimmering skyscrapers, numerous theme parks, vibrant nightlife and thriving, subtropical hinterland of rainforest, Gold Coast has something for everyone.
	 
	• The evening is free to enjoy the beautiful beaches of Gold Coast. You can opt for Paradise Jet Boating – a “must do” adventure activity on the Gold Coast. Experience full 360° spins, high speed drifting, incredible beach buzzing and other exciting manoeuvres as you explore the Gold Coast’s unique waterways.
	 
	• Overnight stay at the hotel
	(Please note that this is an optional activity and is not included in the package price)
	• After a lip-smacking breakfast at the hotel, get ready to experience the energy of Gold Coast.
	 
	• Proceed to visit Movie World - where movie magic happens everyday! Be lost in the world of fun and fantasy, experience thrilling adventure rides; meet your favorite superheroes and movie stars in Warner Bros. Movie World. Grab your laser glasses, start a thrilling battle in Justice League 3D - join the league, save the world. Ride the Green Lantern coaster, and get the thrill of your life when you take one of the steepest drops in the world. Join more fun activities in Superman Escape or Batwing Spaceshot. There are other uncountable such rides that you can choose from. Watch plenty of live shows throughout the day and enjoy movie character experiences. Warner Bros. Movie World is truly a thrilling Hollywood experience in the Gold Coast.
	 
	• Next up, head to Paradise Country. The whole family will love the variety of activities, shows and experiences that a day on the farm can bring. There’s so much to do and see here that you’ll want to visit more than once.
	 
	• Overnight stay at the hotel
	(Paradise County is included as a complimentary experience only for a limited time, else would be available at an additional cost)
	 
	• Enjoy a scrumptious breakfast at the hotel. 
	 
	• Proceed to visit Seaworld to view a water world of fun and adventure. Enjoy the amazing dolphin show and celebrate the sunny weather, the sea, and the beautiful surf, and even get the chance to dive below the waves to experience unforgettable moments with unique water animals. Be friends with the breathtaking marine life, and see polar bears, seals, penguins, and dolphins. Also view some unique shows here, where you could join Dora, the explorer to find her friends, or ride the thrilling Storm Coaster. During the Jet Stunt Extreme show get your adrenalin rushing.
	 
	• Enjoy a scenic tour over the stunning Gold Coast and beautiful hinterland with a scenic flight. Enjoy a 5 minute joy flight that will give you a bird’s eye view of Sea World and Sea World Resort, then north around the stunning Southport Seaway to the Southern tip of Stradbroke Island.
	 
	• Overnight stay at the hotel."," 4,055
                            "
australia,Stunning Brisbane and Melbourne - Land Only,"67,990","
                            6 NIGHTS
                        ","
	"," 4,178
                            "
australia,Best of New South Wales - Self Drive Land only,"42,990","
                            4 NIGHTS
                        ","
	
	
		"," 2,642
                            "
australia,Captivating Australia,"84,990","
                            10 NIGHTS
                        ","
	
		• Welcome to Australia! Arrive at Brisbane Airport (must arrive by 0730 Hrs), you are driven to Holt St. Wharf to board a launch for Tanglooma Resort. Check-in by 0930hrs and board the 1000hrs Tangalooma Launch to Moreton Island. Arrive Tangalooma Island Resort by 1115hrs & check-into Resort  by 1400hrs.
	
		• Have breakfast and then you may opt to head out to experience the famous themeparks of Gold Coast and visit either Dreamworld or Movieworld (Optional).
	
		• After a lip smacking breakfast, get ready to experience the next leg of your Australian Tour.
	
		• Have a hearty breakfast at the hotel.
	
		
			• Have a scrumptious breakfast and set out to discover Kuranda with Scenic Rail and Skyrail (Optional).
	
		•  Have a filling breakfast and make your way to the airport to board your flight for Sydney (Flight prices not included, available on request)
	
		
			•  Begin your day with a delectable breakfast at your hotel before you head out to tour the beautiful city of Sydney (Optional).
	
		• After breakfast, set out to proceed on a full day tour to either Blue Mountains, Port Stephens or Hunter Valley."," 5,222
                            "
australia,Exquisite Victoria - Self Drive (Land only),"47,990","
                            4 NIGHTS
                        ","
	• Arrive in Melbourne - the second largest city in Australia, experiences a mild oceanic climate. The unique ambience of this vibrant city is created by the combination of street art, rooftop bars, restaurants and cosmopolitan lifestyle. Often called the cultural capital of the country, Melbourne has loads of art galleries, museums, theatres, concert halls and public libraries.
	• Once you arrive at the Melbourne Tullamarine Airport, pick up your rental car from the airport and proceed towards Apollo Bay, cross the West Gate Bridge and take the Princes Highway to Geelong, the largest provincial city in Victoria. From Geelong travel to Torquay, the start of the Great Ocean Road, and recognised as the surfing capital of Australia. Stop at the nearby famous Bells Beach or the beautiful Erskine Falls. The scenic coastline from Lorne to Apollo Bay has been described as one of the most beautiful and breathtaking drives in the world.
	• Stay overnight in the comfort of your hotel and get some rest to prepare for the next few days of relentless fun and excitement.
	(Please note, that these are only suggested activities and are not included in the package)
	• Rise to a beautiful day and Savour a hearty breakfast.
	• This morning travel along the fabulous Great Ocean Road to Port Campbell. See the amazing rock formations of the Twelve Apostles, which are huge stone pillars sticking out of the surf, carved over time by the crashing Southern Ocean waves. Travelling on past Port Campbell you will see London Bridge - the broken arch. Continuing the 'Shipwreck Coast' begins, from Port Campbell and Warrnambool and on to Port Fairy.
	• Stay overnight in the comfort of your hotel and get some rest to prepare for the next few days of relentless fun and excitement.
	(Please note, that these are only suggested activities and are not included in the package)
	
		• Enjoy a delicious breakfast and Check-out from your hotel to proceed towards Robe.
		• shorter route will take you via Portland and Cape Nelson, along the coast directly to Mount Gambier, and then on to Robe, via Millicent. The longer route will mean a very early start. Travel via Penhurst to Dunkeld, and then from Dunkeld a scenic drive will take you through the Grampians National Park and onto Halls Gap. Highlights within the Grampians include McKenzie Falls, Reids Lookout and the Balconies. There are walks of varying length and difficulties to reach some of these points. Return to Dunkeld, and then onto Mt Gambier and Robe.
		• Overnight stay at the resort.
		(Please note, that these are only suggested activities and are not included in the package)
	• Have a scrumptious breakfast and set out to discover Barossa Valley.
	• Continue on to Kingston and travel towards Adelaide, travelling along travelling along the Coorong National Park skirting Lake Albert and Lake Alexandria. Travel to the towns of Tailem Bend and Murray Bridge. Travel through Mannum, Mt Pleasant and Angaston. Mannum is one of the oldest towns located on the Murray River and has a historic and lively past. The Barossa Valley is one of Australia's most famous wine producing areas. It is a warm and intimate place of charming old towns, the vineyards spreading across undulating hills in well-tended, precise rows.
	There is plenty of time to explore the Barossa Valley. There are
	• Overnight stay at the hotel
	(Please note, that these are only suggested activities and are not included in the package)
	• After a lip smacking breakfast, get ready to experience Adelaide.
	• There is plenty of time to explore the Barossa Valley. There are many famous wineries to visit including, Yalumba, Orlando and Penfolds, as well as many boutique wineries to discover. Some wineries are still run by members of the same families that established them last century. You can also experience an array of gourmet food products and local delicacies. This afternoon travel south through Gawler to Adelaide, the capital of South Australia and known in Australia as the City of Churches.
	• On the last day of your trip, head to the airport to take your onward flight. Return your rental car and go back with a bunch of wonderful memories from the trip.
	(Please note, that these are only suggested activities and are not included in the package)"," 2,949
                            "
australia,Fascinating Australia,"57,990","
                            8 NIGHTS
                        ","
	
		• Arrive at Melbourne Tullamarine Airport, transfer (seat-in-coach basis) to the hotel and check-in for an overnight stay.
	
		• Relish your breakfast. Today you can choose to proceed on a full day tour of Daintree, Cape Tribulation 4WD Bloomfield Track.
	
		• After a lovely breakfast at the hotel, commence on a Full Day Cruise to Outer Barrier Reef. (Optional)
	
		• Enjoy a delicious breakfast at the hotel, prepare for the next leg of your Australian tour.
	
		
			•  Begin your day with a delectable breakfast at your hotel before you head out to tour the beautiful city of Sydney.
	
		• After breakfast, set out to proceed on a full day tour to either Blue Mountains or Port Stephens or Hunter Valley (Optional).
	
		
			All great holidays must end. Relish a yummy breakfast at the hotel and pack your bags and memories"," 3,563
                            "
bali,Balinese Getaway - Yatra Exclusive,"10,190","
                            4 NIGHTS
                        ","
	
		
			Welcome to Bali. Upon your arrival, meet our representative at the arrival hall who will escort you till your private car.
			Arrive at the hotel and check in. The day is free at leisure. You can unwind at the hotel or relax at the nearest beach.
			As the sun sets you must checkout the in-house hotel bar or famous nightlife spots such as Ku De Ta on the Seminyak coast, or the Rock Bar at Ayana Resort, perched on cliffs above the Indian Ocean. Overnight stay at the hotel.
	
		Enjoy continental breakfast in the Hotel.
		Proceed to visit the famous Ubud Village and Mount Batur. This full-day tour takes you on an eight-hour journey to explore the artistic, cultural and historical highlights of central Bali. The first morning stop is at the village of Batubulan, where you can enjoy the Barong and Keris theatrical performances, depicting the mythical tale of Good vs Evil, and portrayed by performers in vibrant costumes. The tour also includes stops at the nearby Balinese hand-weaving, gold and silversmith’s village of Celuk and Mas where you can witness Bali's creative artisans at work, and perhaps strike a bargain straight from the source. You will then journey towards the highland region of Kintamani and Mount Batur where you’ll enjoy the vast open vistas of the active volcano and the Batur caldera lake. Enjoy sumptuous Indian lunch here.
	Add an adrenaline kick to your Bali vacation with a choice of thrilling water sports and activities at the Tanjung Benoa Beach Resort in Nusa Dua, all including hotel pick-up. Enjoy a fun banana boat ride, zip along the beach on a jet ski or try exhilarating water sports like parasailing. Overnight stay at the hotel.
	
		Today is free for leisure to explore surroundings at leisure. Overnight in Hotel.
	
		
			After breakfast, check out of the hotel to proceed to the airport for your flight back home."," 626
                            "
australia,Mesmerizing Tasmania - Self Drive (Land Only),"1,06,990","
                            9 NIGHTS
                        ","
	 
	 
	 
	 
	 
	 
	 
	 
	 "," 6,574
                            "
